20
30
W F F W F F W W W F W W W F F S F W W F F F F W F F F F F F
F W F F F F W F F W F F F W W F S F F F F W F F W W F F W F
F F F F F W W F F F W F F F W W F F W W W F F W F W W F W F
W S S F F W F W S F W W F F W W W F W F W W W F F F W W W W
W F W W W W F F F W W W F W F W F W F W W F F F W F W F F F
F W F F W F W F F F F W F W F F F W F W F F F W F F F S W F
W W W F W W F F F F W F F W W F F F F F F W W F F W F W F W
W F F W W W F F F W W W F S F W W W W W W W S W F F S F W F
F S W F F F W F W F F W S S S W F F F W W W W F W F W F F F
W W W F W S F F F W W W F S W F F F F F F F F W S F F F F S
F W F F F F F W W W W F W W W S F F F W F F W F S F W F F F
W W S W W F F F W F F F W W F W F F F W F W F F F F W W S F
F W W W W F S W F W F W F W W F W S W W F W W W W F F W W F
W S F S F F F W W F F F W F F F F F W W W F F F W W F F F S
F W F F F W F F W W W F F F F W W F W W F W F F F W F W F W
S F W F F F F F S W W F F F F S F F W F W W W W F W W W W F
F W F F F F W W F W W F W F W F W W F F W F F F F F W W F F
F F W S W W F F F W W W F F W W W S W W F W W F F W F F W F
W F F F F F F W F W F F W W F F W W W W W F F F W F W F F F
W F F F F W S W F W W W W F F W F W W F F F W F F W W F F F
